iter	Passed	Remaining
0	4	491
1	7	350
2	9	298
3	11	275
4	13	260
5	15	248
6	18	239
7	20	231
8	22	225
9	24	218
10	27	222
11	30	222
12	32	217
13	34	213
14	38	215
15	40	211
16	43	211
17	45	208
18	48	208
19	52	211
20	55	209
21	58	206
22	60	202
23	66	211
24	73	219
25	77	220
26	84	229
27	87	224
28	90	221
29	94	220
30	96	215
31	99	210
32	101	205
33	104	203
34	107	199
35	109	194
36	111	189
37	113	185
38	115	181
39	118	178
40	120	174
41	123	170
42	125	166
43	127	162
44	129	158
45	132	155
46	134	151
47	136	148
48	139	144
49	141	141
50	143	137
51	145	134
52	148	131
53	150	128
54	152	124
55	154	121
56	157	118
57	159	115
58	162	112
59	165	110
60	169	108
61	171	105
62	174	102
63	178	100
64	181	97
65	183	94
66	186	91
67	188	88
68	190	85
69	192	82
70	196	80
71	206	80
72	208	77
73	210	74
74	213	71
75	215	67
76	217	65
77	220	62
78	222	59
79	224	56
80	226	53
81	228	50
82	230	47
83	233	44
84	235	41
85	237	38
86	240	35
87	242	33
88	244	30
89	246	27
90	248	24
91	251	21
92	253	19
93	257	16
94	259	13
95	261	10
96	267	8
97	269	5
98	271	2
99	282	0
